2007.08.06,14:05,239.85,242.67,238.98,239.89,0
2007.08.07,14:32,238.81,241.88,238.66,238.98,0
2007.08.08,18:27,243.9,244.15,238.92,243.9,0
2007.08.09,18:50,239.24,244.09,238.97,239.22,0
2007.08.12,19:07,239.37,240.56,236.37,239.35,0
2007.08.13,19:27,237.89,239.72,236.54,237.88,0
2007.08.14,19:41,234.47,238.04,234.21,234.45,0
2007.08.15,19:45,231.29,234.83,230.9,231.28,0
2007.08.16,19:46,225.57,231.76,221.57,225.62,0
2007.08.19,19:51,226.06,229.06,219.39,226.07,0
2007.08.20,20:04,228.0,229.66,225.74,228.01,0
2007.08.21,20:17,226.53,229.16,225.44,226.5,0
2007.08.22,20:28,231.31,231.41,226.38,231.33,0
2007.08.23,20:42,233.12,234.97,230.46,233.13,0
2007.08.26,20:59,235.34,235.58,230.92,235.36,0
2007.08.27,21:21,232.29,235.38,231.62,232.31,0
2007.08.28,21:29,227.84,232.82,227.48,227.85,0
2007.08.29,21:31,233.43,234.61,227.72,233.43,0
2007.08.30,21:51,233.77,234.11,231.28,233.78,0
2007.09.02,22:39,233.52,235.57,232.81,233.52,0
2007.09.04,00:24,233.93,234.63,233.43,233.93,0
2007.09.05,01:03,233.12,234.88,232.01,233.08,0
2007.09.06,01:14,233.24,233.63,231.97,233.25,0
2007.09.07,01:34,232.56,234.27,232.04,232.56,0
2007.09.10,01:42,229.76,233.25,228.32,229.76,0
2007.09.11,02:06,230.57,231.56,229.27,230.57,0
2007.09.12,02:21,231.75,232.6,229.67,231.82,0
2007.09.13,03:06,231.72,232.32,231.1,231.74,0
2007.09.14,03:12,232.94,234.83,231.1,232.93,0
2007.09.17,03:54,229.87,232.98,229.63,229.86,0
2007.09.18,04:16,229.65,230.87,228.27,229.67,0
2007.09.19,04:28,232.84,234.31,229.09,232.83,0
2007.09.20,04:54,232.03,232.87,231.19,232.02,0
2007.09.21,05:07,232.39,232.55,229.53,232.4,0
2007.09.24,06:33,233.1,233.76,232.25,233.13,0
2007.09.25,07:00,230.07,233.22,229.95,229.95,0
2007.09.26,07:27,232.07,232.35,229.8,232.05,0
2007.09.27,07:58,233.75,234.18,232.03,233.73,0
2007.09.28,08:23,234.54,234.74,232.44,234.54,0
2007.10.01,08:54,236.61,236.77,233.26,236.68,0
2007.10.02,09:30,236.55,237.13,234.98,236.49,0
2007.10.03,10:00,237.35,237.62,235.95,237.37,0
